date,hour,pandal_name,latitude,longitude,weather,base_popularity,crowd_count,risk_level
2025-10-01,0,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,296,Green
2025-10-01,0,College Square,22.579,88.363,Clear,9,725,Green
2025-10-01,0,Deshapriya Park,22.5263,88.3642,Clear,8,643,Green
2025-10-01,0,Kumartuli Park,22.595,88.358,Clear,7,793,Green
2025-10-01,0,Suruchi Sangha,22.518,88.347,Clear,8,385,Green
2025-10-01,0,Sreebhumi Sporting Club,22.578,88.421,Clear,9,472,Green
2025-10-01,0,Ekdalia Evergreen,22.522,88.356,Clear,7,318,Green
2025-10-01,0,Tridhara Sammilani,22.515,88.362,Clear,6,142,Green
2025-10-01,0,Badamtala Ashar Sangha,22.535,88.345,Clear,7,0,Green
2025-10-01,0,Naktala Udayan Sangha,22.489,88.372,Clear,6,705,Green
2025-10-01,0,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,664,Green
2025-10-01,0,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,32,Green
2025-10-01,0,Santosh Mitra Square,22.571,88.356,Clear,8,431,Green
2025-10-01,0,Mohammad Ali Park,22.575,88.351,Clear,8,337,Green
2025-10-01,0,Jodhpur Park,22.51,88.369,Clear,6,208,Green
2025-10-01,1,Bagbazar Sarbojanin,22.5958,88.3697,Light Rain,9,0,Green
2025-10-01,1,College Square,22.579,88.363,Light Rain,9,461,Green
2025-10-01,1,Deshapriya Park,22.5263,88.3642,Light Rain,8,0,Green
2025-10-01,1,Kumartuli Park,22.595,88.358,Light Rain,7,179,Green
2025-10-01,1,Suruchi Sangha,22.518,88.347,Light Rain,8,425,Green
2025-10-01,1,Sreebhumi Sporting Club,22.578,88.421,Light Rain,9,95,Green
2025-10-01,1,Ekdalia Evergreen,22.522,88.356,Light Rain,7,455,Green
2025-10-01,1,Tridhara Sammilani,22.515,88.362,Light Rain,6,113,Green
2025-10-01,1,Badamtala Ashar Sangha,22.535,88.345,Light Rain,7,255,Green
2025-10-01,1,Naktala Udayan Sangha,22.489,88.372,Light Rain,6,113,Green
2025-10-01,1,Bosepukur Sitala Mandir,22.505,88.39,Light Rain,6,849,Green
2025-10-01,1,Dum Dum Park Tarun Dal,22.615,88.398,Light Rain,7,338,Green
2025-10-01,1,Santosh Mitra Square,22.571,88.356,Light Rain,8,74,Green
2025-10-01,1,Mohammad Ali Park,22.575,88.351,Light Rain,8,638,Green
